Name,Component,Pin
I2C0_SCL,R3,2
I2C0_SCL,U2,28
MMC1_DAT4,P8,23
MMC1_DAT4,R105,2
MMC1_DAT4,U13,B3
MMC1_DAT4,U5,U8
MII1_COL,R138,1
MII1_COL,U5,H16
DDR_BA1,BUSCON53,1
DDR_BA1,U12,N8
DDR_BA1,BUSCON53,1
DDR_BA1,906303eb9d045c23,$PIN0
DDR_BA1,BUSCON13,1
DDR_BA1,U5,E1
DDR_BA1,BUSCON13,1
DDR_BA1,dbb272efcdd2d1cb,$PIN0
AIN4,P9,33
AIN4,U5,C8
PMIC_PGOOD,U5,B15
PMIC_PGOOD,U16,2
PMIC_PGOOD,U2,26
JTAG_TDO,U5,A11
JTAG_TDO,P2,7
PHY_VDDCR,U14,6
PHY_VDDCR,C136,1
PHY_VDDCR,C134,1
USB1_DRVVBUS,R53,1
USB1_DRVVBUS,U8,4
USB1_DRVVBUS,U5,F15
HDMI_TX2-,U11,44
HDMI_TX2-,P6,5
HDMI_TX2-,D7,1
ZQ,U12,L8
ZQ,R99,2
MODE2,R138,2
MODE2,U14,15
MODE2,R113,1
LEDAA,D2,2
LEDAA,R72,2
DDR_D14,1e5a704cd1868ecf,$PIN0
DDR_D14,BUSCON6,1
DDR_D14,U12,B8
DDR_D14,BUSCON54,1
DDR_D14,BUSCON54,1
DDR_D14,e9302fe5834c6fa4,$PIN0
DDR_D14,U5,L4
DDR_D14,BUSCON6,1
ETH_TXD4,U14,18
ETH_TXD4,R145,1
DDR_A1,3e2a4bfa92c74042,$PIN0
DDR_A1,BUSCON26,1
DDR_A1,U5,H1
DDR_A1,BUSCON26,1
DDR_A1,5371b32345c74ad5,$PIN0
DDR_A1,BUSCON41,1
DDR_A1,BUSCON41,1
DDR_A1,U12,P7
MMC0_DAT1,U5,G15
MMC0_DAT1,R154,2
MMC0_DAT1,P10,8
CAP_VDD_SRAM_MPU,U5,D11
CAP_VDD_SRAM_MPU,C90,1
HDMI_INT,U11,50
HDMI_INT,R158,2
HDMI_INT,U5,U16
MMC1_DAT3,U5,T8
MMC1_DAT3,R104,2
MMC1_DAT3,U13,B2
MMC1_DAT3,P8,6
REFCLKO,U14,7
REFCLKO,R124,2
REFCLKO,R131,2
REFCLKO,R118,1
MII1_RXCLK,R131,1
MII1_RXCLK,U5,L18
SPI1_D1,P9,30
SPI1_D1,U5,D12
GPIO0_7,P9,42
GPIO0_7,R51,1
GPIO0_7,R50,1
DDR_D7,1e5a704cd1868ecf,$PIN0
DDR_D7,BUSCON22,1
DDR_D7,BUSCON69,1
DDR_D7,U12,H7
DDR_D7,BUSCON22,1
DDR_D7,U5,P4
DDR_D7,BUSCON69,1
DDR_D7,e9302fe5834c6fa4,$PIN0
DDR_D10,U12,C8
DDR_D10,BUSCON58,1
DDR_D10,BUSCON58,1
DDR_D10,e9302fe5834c6fa4,$PIN0
DDR_D10,1e5a704cd1868ecf,$PIN0
DDR_D10,BUSCON2,1
DDR_D10,BUSCON2,1
DDR_D10,U5,K2
CLKOUT2,P2,18
CLKOUT2,R19,2
CLKOUT2,R20,1
CLKOUT2,P9,41
HDMI_DSCL,P6,17
HDMI_DSCL,U11,33
HDMI_DSCL,R146,2
TCT_RCT,R137,1
TCT_RCT,C141,1
TCT_RCT,P5,5
TCT_RCT,P5,4
DDR_A9,3e2a4bfa92c74042,$PIN0
DDR_A9,BUSCON8,1
DDR_A9,BUSCON8,1
DDR_A9,U5,C1
DDR_A9,BUSCON48,1
DDR_A9,5371b32345c74ad5,$PIN0
DDR_A9,BUSCON48,1
DDR_A9,U12,R3
DDR_BA0,U12,M2
DDR_BA0,BUSCON51,1
DDR_BA0,BUSCON14,1
DDR_BA0,U5,C4
DDR_BA0,BUSCON14,1
DDR_BA0,dbb272efcdd2d1cb,$PIN0
DDR_BA0,906303eb9d045c23,$PIN0
DDR_BA0,BUSCON51,1
DDR_RESETn,U5,G2
DDR_RESETn,R97,2
DDR_RESETn,U12,T2
DDR_D8,BUSCON56,1
DDR_D8,U12,D7
DDR_D8,1e5a704cd1868ecf,$PIN0
DDR_D8,BUSCON23,1
DDR_D8,BUSCON56,1
DDR_D8,e9302fe5834c6fa4,$PIN0
DDR_D8,BUSCON23,1
DDR_D8,U5,J1
GND_OSC1,C21,1
GND_OSC1,R30,2
GND_OSC1,U5,A5
GND_OSC1,C22,1
MMC1_DAT0,P8,25
MMC1_DAT0,R101,2
MMC1_DAT0,U13,A3
MMC1_DAT0,U5,U7
LCD_DATA3,C170,1
LCD_DATA3,P8,44
LCD_DATA3,U11,11
LCD_DATA3,U5,R4
LCD_DATA3,R92,1
LCD_DATA3,R67,2
N22287501,U3,4
N22287501,R162,1
DDR_A6,BUSCON32,1
DDR_A6,3e2a4bfa92c74042,$PIN0
DDR_A6,BUSCON37,1
DDR_A6,U12,R8
DDR_A6,BUSCON32,1
DDR_A6,U5,D5
DDR_A6,BUSCON37,1
DDR_A6,5371b32345c74ad5,$PIN0
N22420444,TP6,1
N22420444,U2,6
GNDA_ADC,C32,2
GNDA_ADC,C31,2
GNDA_ADC,C33,2
GNDA_ADC,U5,A9
GNDA_ADC,U5,E8
GNDA_ADC,FB3,1
GNDA_ADC,C93,2
GNDA_ADC,P9,34
LCD_HSYNC,U11,22
LCD_HSYNC,R47,2
LCD_HSYNC,P8,29
LCD_DATA6,P8,39
LCD_DATA6,U5,T3
LCD_DATA6,R64,2
LCD_DATA6,R89,1
LCD_DATA6,U11,6
LCD_DATA6,C162,1
USR0,R76,1
USR0,Q1,2
USR0,U5,V15
AIN3,U5,A7
AIN3,P9,38
HDMI_CEC_D,D8,2
HDMI_CEC_D,R166,1
VDCDC1,R6,1
VDCDC1,U2,19
VDCDC1,L1,2
MMC0_DAT3,U5,F17
MMC0_DAT3,R155,2
MMC0_DAT3,P10,2
USB_DC,C36,1
USB_DC,U10,6
USB_DC,P4,1
USB_DC,U2,12
USB_DC,C1,2
USB_DC,R159,1
LCDPCLK,U5,V5
LCDPCLK,R45,1
UART4_RXD,U5,T17
UART4_RXD,P9,11
HDMICLK_DISn,Y4,1
HDMICLK_DISn,U5,V17
DDR_D9,BUSCON57,1
DDR_D9,U12,C3
DDR_D9,U5,K1
DDR_D9,BUSCON1,1
DDR_D9,1e5a704cd1868ecf,$PIN0
DDR_D9,BUSCON1,1
DDR_D9,BUSCON57,1
DDR_D9,e9302fe5834c6fa4,$PIN0
MII1_TXCLK,R134,1
MII1_TXCLK,U5,K18
GPIO0_27,P8,17
GPIO0_27,U5,U12
RXDV,R129,2
RXDV,U14,26
WP,R156,2
WP,TP4,1
WP,U7,5
VDDS,R9,1
VDDS,R8,2
VDDS,C81,1
VDDS,C82,1
VDDS,C80,1
VDDS,C84,1
VDDS,U5,E6
VDDS,U5,E14
VDDS,U5,F9
VDDS,U5,K13
VDDS,U5,N6
VDDS,U5,P9
VDDS,U5,P14
VDDS,C83,1
VDDS,C85,1
OSC1_IN,C21,2
OSC1_IN,Y1,1
OSC1_IN,U5,A6
UART0_RX,U15,6
UART0_RX,U5,E15
USR3,Q2,5
USR3,R79,1
USR3,U5,V16
LCD_VSYNC,P8,27
LCD_VSYNC,R46,2
LCD_VSYNC,U11,21
LCD_DATA14,C165,1
LCD_DATA14,P8,31
LCD_DATA14,U5,V4
LCD_DATA14,U11,57
LCD_DATA14,R56,2
LCD_DATA14,R81,1
DDR_A8,BUSCON49,1
DDR_A8,U12,T8
DDR_A8,BUSCON33,1
DDR_A8,U5,D4
DDR_A8,5371b32345c74ad5,$PIN0
DDR_A8,BUSCON49,1
DDR_A8,BUSCON33,1
DDR_A8,3e2a4bfa92c74042,$PIN0
MII1_RXD2,U5,L16
MII1_RXD2,R126,1
LCD_DATA11,U11,60
LCD_DATA11,R59,2
LCD_DATA11,R84,1
LCD_DATA11,U5,U4
LCD_DATA11,C168,1
LCD_DATA11,P8,34
VDD_PLL,U5,R11
VDD_PLL,C106,1
VDD_PLL,C92,1
VDD_PLL,U5,E7
VDD_PLL,C79,1
VDD_PLL,FB1,2
VDD_PLL,U5,H15
VDD_PLL,U5,R10
VDD_PLL,C94,1
LCD_DATA5,U5,T2
LCD_DATA5,R65,2
LCD_DATA5,R90,1
LCD_DATA5,P8,42
LCD_DATA5,U11,7
LCD_DATA5,C163,1
OSC0_OUT,R17,2
OSC0_OUT,U5,U11
OSC0_OUT,C26,1
OSC0_OUT,Y2,1
MMC0_DAT2,U5,F18
MMC0_DAT2,R150,2
MMC0_DAT2,P10,1
USB1_VBUS,FB8,1
USB1_VBUS,U5,T18
USR2,U5,T15
USR2,Q2,2
USR2,R78,1
LEDDC,D5,1
LEDDC,Q2,3
DDR_CLKn,U12,K7
DDR_CLKn,U5,D1
N22287555,U3,2
N22287555,U5,R14
VLDO1,R7,1
VLDO1,R8,1
VLDO1,U2,3
VLDO1,R5,1
DDR_D2,BUSCON64,1
DDR_D2,e9302fe5834c6fa4,$PIN0
DDR_D2,BUSCON18,1
DDR_D2,U5,N1
DDR_D2,1e5a704cd1868ecf,$PIN0
DDR_D2,BUSCON18,1
DDR_D2,U12,F2
DDR_D2,BUSCON64,1
GND_OSC0,R30,1
GND_OSC0,R29,1
GND_OSC0,U5,V11
GND_OSC0,C26,2
GND_OSC0,C25,2
PHYX,Y3,2
PHYX,C142,1
PHYX,R143,2
EHRPWM1A,P9,14
EHRPWM1A,U5,U14
LEDCC,Q2,6
LEDCC,D4,1
PHY_XTAL1,R141,2
PHY_XTAL1,Y3,1
PHY_XTAL1,C143,1
PHY_XTAL1,R142,1
LCD_DATA1,C171,1
LCD_DATA1,R94,1
LCD_DATA1,R69,2
LCD_DATA1,P8,46
LCD_DATA1,U11,13
LCD_DATA1,U5,R2
JTAG_TCK,P2,9
JTAG_TCK,P2,11
JTAG_TCK,U5,A12
LEDBC,D3,1
LEDBC,Q1,3
MII1_TXEN,U14,21
MII1_TXEN,U5,J16
HDMI_TXC+,U11,38
HDMI_TXC+,D6,4
HDMI_TXC+,P6,12
MMC1_DAT7,U13,B6
MMC1_DAT7,R108,2
MMC1_DAT7,P8,4
MMC1_DAT7,U5,T9
DDR_DQSN1,U12,B7
DDR_DQSN1,U5,L2
USB1_OCn,U5,T16
USB1_OCn,R52,2
USB1_OCn,U8,5
RXD2/RMIISEL,U14,9
RXD2/RMIISEL,R126,2
RXD2/RMIISEL,R117,1
12MHZ,R21,2
12MHZ,U11,27
XDMA_EVENT_INTR0,P2,17
XDMA_EVENT_INTR0,R18,2
XDMA_EVENT_INTR0,U6,1
AIN5,P9,36
AIN5,U5,B8
GPIO3_18,R51,2
GPIO3_18,U5,B12
LCD_PCLK,P8,28
LCD_PCLK,R45,2
LCD_PCLK,U11,4
GPIO1_15,U5,U13
GPIO1_15,P8,15
DDR_CKE,U12,K9
DDR_CKE,R96,2
DDR_CKE,U5,G3
I2C0_SDA,U5,C17
I2C0_SDA,R4,2
I2C0_SDA,U2,27
I2C0_SDA,U7,3
I2C0_SDA,U11,51
USR1,U5,U15
USR1,R77,1
USR1,Q1,5
B_UART0_TX,U15,3
B_UART0_TX,J1,5
RXD3/PHYAD2,U14,8
RXD3/PHYAD2,R125,2
RXD3/PHYAD2,R116,1
DDR_A10,U12,L7
DDR_A10,BUSCON47,1
DDR_A10,5371b32345c74ad5,$PIN0
DDR_A10,BUSCON47,1
DDR_A10,3e2a4bfa92c74042,$PIN0
DDR_A10,BUSCON9,1
DDR_A10,BUSCON9,1
DDR_A10,U5,F4
DDR_D4,BUSCON16,1
DDR_D4,U5,N3
DDR_D4,BUSCON66,1
DDR_D4,U12,H3
DDR_D4,1e5a704cd1868ecf,$PIN0
DDR_D4,BUSCON16,1
DDR_D4,BUSCON66,1
DDR_D4,e9302fe5834c6fa4,$PIN0
DDR_BA2,U12,M3
DDR_BA2,BUSCON52,1
DDR_BA2,906303eb9d045c23,$PIN0
DDR_BA2,BUSCON52,1
DDR_BA2,U5,B3
DDR_BA2,BUSCON24,1
DDR_BA2,dbb272efcdd2d1cb,$PIN0
DDR_BA2,BUSCON24,1
DDR_DQM0,U12,E7
DDR_DQM0,U5,M2
LCDDE,R48,1
LCDDE,U5,R6
TIMER4,P8,7
TIMER4,U5,R7
VREFP_ADC,R27,2
VREFP_ADC,C33,1
VREFP_ADC,C32,1
VREFP_ADC,U5,B9
VREFP_ADC,C31,1
DDR_D1,1e5a704cd1868ecf,$PIN0
DDR_D1,BUSCON19,1
DDR_D1,BUSCON63,1
DDR_D1,e9302fe5834c6fa4,$PIN0
DDR_D1,BUSCON63,1
DDR_D1,U12,F7
DDR_D1,BUSCON19,1
DDR_D1,U5,M4
EHRPWM2B,U5,T10
EHRPWM2B,P8,13
DDR_WEn,U12,L3
DDR_WEn,U5,B2
GPIO1_17,P9,23
GPIO1_17,U5,V14
HDMI_TX2+,U11,45
HDMI_TX2+,P6,3
HDMI_TX2+,D7,2
DDR_CSn,U12,L2
DDR_CSn,U5,H2
CAP_VDD_SRAM_CORE,C89,1
CAP_VDD_SRAM_CORE,U5,D9
UART2_RXD,U5,A17
UART2_RXD,P9,22
JTAG_TMS,P2,1
JTAG_TMS,U5,C11
MII1_TXD0,U14,22
MII1_TXD0,U5,K17
AIN2,P9,37
AIN2,U5,B7
N21769115,S2,1
N21769115,S2,3
N21769115,R75,2
DDR_RASn,U5,G4
DDR_RASn,U12,J3
HDMI_TX1-,U11,42
HDMI_TX1-,P6,8
HDMI_TX1-,D7,4
DDR_CASn,U5,F1
DDR_CASn,U12,K3
LCDVSYNC,U5,U5
LCDVSYNC,R46,1
DDR_A15,U5,D3
DDR_A15,BUSCON35,1
DDR_A15,BUSCON70,1
DDR_A15,5371b32345c74ad5,$PIN0
DDR_A15,BUSCON70,1
DDR_A15,U12,M7
DDR_A15,3e2a4bfa92c74042,$PIN0
DDR_A15,BUSCON35,1
I2C2_SDA,P9,20
I2C2_SDA,U5,D18
VDD_MPUON,TP2,1
VDD_MPUON,U5,A2
HDMI_SWING,U11,34
HDMI_SWING,R148,1
JTAG_EMU0,R23,2
JTAG_EMU0,P2,13
JTAG_EMU0,U5,C14
MII1_TXD2,U5,K15
MII1_TXD2,U14,24
TIMER6,P8,10
TIMER6,U5,U6
USB0_ID,U10,3
USB0_ID,P4,4
USB0_ID,U5,P16
HDMI_TXC-,U11,37
HDMI_TXC-,D6,5
HDMI_TXC-,P6,14
PROC_A15,U5,A15
PROC_A15,R18,1
USB0_DM,U10,2
USB0_DM,P4,2
USB0_DM,U5,N18
JTAG_TDI,P2,3
JTAG_TDI,U5,B11
CLKOUT_SRC,U5,D14
CLKOUT_SRC,R19,1
AIN1,U5,C7
AIN1,P9,40
AIN0,U5,B6
AIN0,P9,39
LCDVHYNC,R47,1
LCDVHYNC,U5,R5
MII1_RXERR,U5,J15
MII1_RXERR,R133,1
N22248684,R167,1
N22248684,Y4,3
GPIO1_29,P8,26
GPIO1_29,U5,V6
DDR_DQS0,U5,P1
DDR_DQS0,U12,F3
LEDAC,D2,1
LEDAC,Q1,6
DDR_A12,U5,E3
DDR_A12,BUSCON11,1
DDR_A12,U12,N7
DDR_A12,BUSCON45,1
DDR_A12,5371b32345c74ad5,$PIN0
DDR_A12,BUSCON45,1
DDR_A12,3e2a4bfa92c74042,$PIN0
DDR_A12,BUSCON11,1
N22420447,TP7,1
N22420447,U2,11
P_INT_LDO,C3,2
P_INT_LDO,U2,48
ENZ_KALDO_1P8V,U5,B4
ENZ_KALDO_1P8V,R54,2
DDR_ODT,U12,K1
DDR_ODT,U5,G1
DDR_DQM1,U5,J2
DDR_DQM1,U12,D3
CAP_VBB_MPU,C91,1
CAP_VBB_MPU,U5,C10
RXD0/MODE0,U14,11
RXD0/MODE0,R128,2
RXD0/MODE0,R112,1
UART2_TXD,U5,B17
UART2_TXD,P9,21
DDR_DQSN0,U5,P2
DDR_DQSN0,U12,G3
DDR_A7,U5,E2
DDR_A7,BUSCON31,1
DDR_A7,5371b32345c74ad5,$PIN0
DDR_A7,BUSCON50,1
DDR_A7,3e2a4bfa92c74042,$PIN0
DDR_A7,BUSCON31,1
DDR_A7,U12,R2
DDR_A7,BUSCON50,1
I2C1_SDA,P9,18
I2C1_SDA,U5,B16
EHRPWM2A,P8,19
EHRPWM2A,U5,U10
RBIAS,R144,1
RBIAS,U14,32
DDR_D5,1e5a704cd1868ecf,$PIN0
DDR_D5,BUSCON15,1
DDR_D5,BUSCON15,1
DDR_D5,U5,N4
DDR_D5,U12,H8
DDR_D5,BUSCON67,1
DDR_D5,BUSCON67,1
DDR_D5,e9302fe5834c6fa4,$PIN0
DDR_D3,1e5a704cd1868ecf,$PIN0
DDR_D3,BUSCON17,1
DDR_D3,BUSCON65,1
DDR_D3,e9302fe5834c6fa4,$PIN0
DDR_D3,U5,N2
DDR_D3,BUSCON17,1
DDR_D3,BUSCON65,1
DDR_D3,U12,F8
YELA,U14,2
YELA,R135,1
YELA,P5,12
DDR_A2,U5,E4
DDR_A2,BUSCON28,1
DDR_A2,BUSCON40,1
DDR_A2,5371b32345c74ad5,$PIN0
DDR_A2,3e2a4bfa92c74042,$PIN0
DDR_A2,BUSCON28,1
DDR_A2,BUSCON40,1
DDR_A2,U12,P3
YEL_C,P5,11
YEL_C,R130,2
PMIC_POWR_EN,U5,C6
PMIC_POWR_EN,U2,9
PHY_XTAL2,R141,1
PHY_XTAL2,U14,4
PHY_XTAL2,R143,1
LEDBA,R73,2
LEDBA,D3,2
DDR_D0,BUSCON20,1
DDR_D0,U5,M3
DDR_D0,1e5a704cd1868ecf,$PIN0
DDR_D0,BUSCON20,1
DDR_D0,BUSCON62,1
DDR_D0,U12,E3
DDR_D0,BUSCON62,1
DDR_D0,e9302fe5834c6fa4,$PIN0
GRN_C,R132,2
GRN_C,P5,10
DDR_DQS1,U12,C7
DDR_DQS1,U5,L1
JTAG_TRSTn,U5,B10
JTAG_TRSTn,R25,1
JTAG_TRSTn,P2,2
P_L3,U2,31
P_L3,L3,1
PWR_LEDR,D1,1
PWR_LEDR,R12,2
LEDDA,R71,2
LEDDA,D5,2
USB1_ID,R49,2
USB1_ID,U5,P17
DDR_A0,BUSCON42,1
DDR_A0,U12,N3
DDR_A0,BUSCON25,1
DDR_A0,U5,F3
DDR_A0,3e2a4bfa92c74042,$PIN0
DDR_A0,BUSCON25,1
DDR_A0,5371b32345c74ad5,$PIN0
DDR_A0,BUSCON42,1
U5_T13,R161,1
U5_T13,U5,T13
N22248838,U6,5
N22248838,R21,1
GPIO1_28,U5,U18
GPIO1_28,P9,12
N22155575,U5,P15
N22155575,R159,2
LEDCA,D4,2
LEDCA,R74,2
